order_date,order_year,order_month,order_hour,time_of_day,date_id
2019-12-27,2019,12,16,Afternoon,77
2019-12-10,2019,12,21,Evening,78
2019-12-07,2019,12,19,Evening,79
2019-12-04,2019,12,5,Night,80
2019-12-27,2019,12,20,Evening,81
2019-12-29,2019,12,11,Morning,82
2019-12-11,2019,12,12,Afternoon,83
2019-12-25,2019,12,6,Morning,84
2019-12-21,2019,12,6,Morning,85
2019-12-02,2019,12,22,Evening,86
2019-12-05,2019,12,8,Morning,87
2019-12-26,2019,12,23,Evening,88
2019-12-30,2019,12,18,Evening,89
2019-12-31,2019,12,17,Afternoon,90
2019-12-04,2019,12,8,Morning,91
2019-12-18,2019,12,13,Afternoon,92
2019-12-08,2019,12,20,Evening,93
2019-12-21,2019,12,13,Afternoon,94
2019-12-22,2019,12,22,Evening,95
2019-12-27,2019,12,19,Evening,96
2019-12-28,2019,12,10,Morning,97
2019-12-23,2019,12,12,Afternoon,98
2019-12-17,2019,12,10,Morning,99
2019-12-07,2019,12,20,Evening,100
2019-12-31,2019,12,11,Morning,101
2019-12-04,2019,12,15,Afternoon,102
2019-12-22,2019,12,20,Evening,103
2019-12-09,2019,12,19,Evening,104
2019-12-08,2019,12,21,Evening,105
2019-12-25,2019,12,15,Afternoon,106
2019-12-26,2019,12,0,Night,107
2019-12-08,2019,12,12,Afternoon,108
2019-12-19,2019,12,20,Evening,109
2019-12-06,2019,12,12,Afternoon,110
2019-12-31,2019,12,13,Afternoon,111
2019-12-09,2019,12,20,Evening,112
2019-12-28,2019,12,20,Evening,113
2019-12-05,2019,12,19,Evening,114
2019-12-14,2019,12,10,Morning,115
2019-12-20,2019,12,9,Morning,116
2019-12-15,2019,12,11,Morning,117
2019-12-20,2019,12,15,Afternoon,118
2019-12-13,2019,12,21,Evening,119
2019-12-16,2019,12,9,Morning,120
2019-12-05,2019,12,12,Afternoon,121
2019-12-22,2019,12,8,Morning,122
2019-12-29,2019,12,10,Morning,123
2019-12-19,2019,12,12,Afternoon,124
2019-12-11,2019,12,19,Evening,125
2019-12-20,2019,12,2,Night,126
2019-12-06,2019,12,14,Afternoon,127
2019-12-01,2019,12,8,Morning,128
2019-12-23,2019,12,10,Morning,129
2019-12-21,2019,12,10,Morning,130
2019-12-28,2019,12,12,Afternoon,131
2019-12-17,2019,12,8,Morning,132
2019-12-23,2019,12,11,Morning,133
2019-12-23,2019,12,14,Afternoon,134
2019-12-11,2019,12,21,Evening,135
2019-12-24,2019,12,8,Morning,136
2019-12-28,2019,12,18,Evening,137
2019-12-19,2019,12,6,Morning,138
2019-12-07,2019,12,16,Afternoon,139
2019-12-29,2019,12,14,Afternoon,140
2019-12-10,2019,12,2,Night,141
2019-12-29,2019,12,15,Afternoon,142
2019-12-07,2019,12,14,Afternoon,143
2019-12-01,2019,12,18,Evening,144
2019-12-13,2019,12,18,Evening,145
2019-12-27,2019,12,13,Afternoon,146
2019-12-18,2019,12,14,Afternoon,147
2019-12-19,2019,12,14,Afternoon,148
2019-12-21,2019,12,15,Afternoon,149
2019-12-16,2019,12,19,Evening,150
2019-12-24,2019,12,15,Afternoon,151
2019-12-15,2019,12,17,Afternoon,152
2019-12-30,2019,12,22,Evening,153
2019-12-14,2019,12,22,Evening,154
2019-12-07,2019,12,22,Evening,155
2019-12-01,2019,12,15,Afternoon,156
2019-12-03,2019,12,12,Afternoon,157
2019-12-13,2019,12,15,Afternoon,158
2019-12-24,2019,12,14,Afternoon,159
2019-12-11,2019,12,17,Afternoon,160
2019-12-24,2019,12,20,Evening,161
2019-12-05,2019,12,16,Afternoon,162
2019-12-12,2019,12,17,Afternoon,163
2019-12-30,2019,12,21,Evening,164
2019-12-08,2019,12,0,Night,165
2019-12-01,2019,12,12,Afternoon,166
2019-12-12,2019,12,11,Morning,167
2019-12-20,2019,12,20,Evening,168
2019-12-03,2019,12,15,Afternoon,169
2019-12-06,2019,12,13,Afternoon,170
2019-12-27,2019,12,21,Evening,171
2019-12-16,2019,12,18,Evening,172
2019-12-09,2019,12,17,Afternoon,173
2019-12-17,2019,12,11,Morning,174
2019-12-15,2019,12,8,Morning,175
2019-12-11,2019,12,16,Afternoon,176
2019-12-08,2019,12,19,Evening,177
2019-12-31,2019,12,15,Afternoon,178
2019-12-13,2019,12,17,Afternoon,179
2019-12-02,2019,12,18,Evening,180
2019-12-26,2019,12,8,Morning,181
2019-12-20,2019,12,13,Afternoon,182
2019-12-27,2019,12,8,Morning,183
2019-12-31,2019,12,14,Afternoon,184
2019-12-24,2019,12,17,Afternoon,185
2019-12-05,2019,12,11,Morning,186
2019-12-05,2019,12,13,Afternoon,187
2019-12-28,2019,12,13,Afternoon,188
2019-12-25,2019,12,23,Evening,189
2019-12-26,2019,12,13,Afternoon,190
2019-12-29,2019,12,0,Night,191
2019-12-21,2019,12,11,Morning,192
2019-12-13,2019,12,16,Afternoon,193
2019-12-27,2019,12,18,Evening,194
2019-12-05,2019,12,20,Evening,195
2019-12-26,2019,12,21,Evening,196
2019-12-19,2019,12,17,Afternoon,197
2019-12-06,2019,12,23,Evening,198
2019-12-11,2019,12,20,Evening,199
2019-12-18,2019,12,8,Morning,200
2019-12-27,2019,12,22,Evening,201
2019-12-10,2019,12,22,Evening,202
2019-12-01,2019,12,13,Afternoon,203
2019-12-07,2019,12,8,Morning,204
2019-12-02,2019,12,11,Morning,205
2019-12-16,2019,12,12,Afternoon,206
2019-12-10,2019,12,7,Morning,207
2019-12-01,2019,12,19,Evening,208
2019-12-12,2019,12,19,Evening,209
2019-12-13,2019,12,10,Morning,210
2019-12-21,2019,12,20,Evening,211
2019-12-16,2019,12,8,Morning,212
2019-12-10,2019,12,19,Evening,213
2019-12-16,2019,12,22,Evening,214
2019-12-19,2019,12,10,Morning,215
2019-12-10,2019,12,14,Afternoon,216
2019-12-08,2019,12,8,Morning,217
2019-12-31,2019,12,16,Afternoon,218
2019-12-30,2019,12,19,Evening,219
2019-12-29,2019,12,17,Afternoon,220
2019-12-06,2019,12,10,Morning,221
2019-12-09,2019,12,11,Morning,222
2019-12-29,2019,12,20,Evening,223
2019-12-17,2019,12,21,Evening,224
2019-12-17,2019,12,15,Afternoon,225
2019-12-31,2019,12,9,Morning,226
2019-12-02,2019,12,10,Morning,227
2019-12-30,2019,12,16,Afternoon,228
2019-12-18,2019,12,19,Evening,229
2019-12-04,2019,12,18,Evening,230
2019-12-16,2019,12,13,Afternoon,231
2019-12-08,2019,12,10,Morning,232
2019-12-03,2019,12,21,Evening,233
2019-12-17,2019,12,19,Evening,234
2019-12-12,2019,12,10,Morning,235
2019-12-10,2019,12,11,Morning,236
2019-12-07,2019,12,2,Night,237
2019-12-15,2019,12,20,Evening,238
2019-12-30,2019,12,13,Afternoon,239
2019-12-10,2019,12,8,Morning,240
2019-12-28,2019,12,7,Morning,241
2019-12-10,2019,12,12,Afternoon,242
2019-12-18,2019,12,1,Night,243
2019-12-06,2019,12,19,Evening,244
2019-12-16,2019,12,14,Afternoon,245
2019-12-02,2019,12,6,Morning,246
2019-12-21,2019,12,12,Afternoon,247
2019-12-15,2019,12,22,Evening,248
2019-12-09,2019,12,7,Morning,249
2019-12-05,2019,12,18,Evening,250
2019-12-18,2019,12,15,Afternoon,251
2019-12-19,2019,12,11,Morning,252
2019-12-23,2019,12,5,Night,253
2019-12-02,2019,12,19,Evening,254
2019-12-10,2019,12,18,Evening,255
2019-12-25,2019,12,0,Night,256
2019-12-15,2019,12,18,Evening,257
2019-12-15,2019,12,19,Evening,258
2019-12-30,2019,12,4,Night,259
2019-12-16,2019,12,17,Afternoon,260
2019-12-30,2019,12,12,Afternoon,261
2019-12-14,2019,12,19,Evening,262
2019-12-11,2019,12,11,Morning,263
2019-12-12,2019,12,12,Afternoon,264
2019-12-03,2019,12,3,Night,265
2019-12-05,2019,12,9,Morning,266
2019-12-20,2019,12,6,Morning,267
2019-12-30,2019,12,20,Evening,268
2019-12-24,2019,12,12,Afternoon,269
2019-12-18,2019,12,20,Evening,270
2019-12-20,2019,12,14,Afternoon,271
2019-12-03,2019,12,17,Afternoon,272
2019-12-18,2019,12,18,Evening,273
2019-12-11,2019,12,13,Afternoon,274
2019-12-26,2019,12,16,Afternoon,275
2019-12-22,2019,12,7,Morning,276
2019-12-12,2019,12,15,Afternoon,277
2019-12-15,2019,12,14,Afternoon,278
2019-12-25,2019,12,4,Night,279
2019-12-12,2019,12,21,Evening,280
2019-12-27,2019,12,15,Afternoon,281
2019-12-23,2019,12,18,Evening,282
2019-12-09,2019,12,16,Afternoon,283
2019-12-13,2019,12,8,Morning,284
2019-12-29,2019,12,6,Morning,285
2019-12-08,2019,12,22,Evening,286
2019-12-22,2019,12,4,Night,287
2019-12-23,2019,12,9,Morning,288
2019-12-25,2019,12,21,Evening,289
2019-12-27,2019,12,7,Morning,290
2019-12-12,2019,12,22,Evening,291
2019-12-27,2019,12,9,Morning,292
2019-12-22,2019,12,13,Afternoon,293
2019-12-21,2019,12,8,Morning,294
2019-12-05,2019,12,14,Afternoon,295
2019-12-31,2019,12,20,Evening,296
2019-12-26,2019,12,1,Night,297
2019-12-16,2019,12,20,Evening,298
2019-12-04,2019,12,1,Night,299
2019-12-06,2019,12,18,Evening,300
2019-12-14,2019,12,12,Afternoon,301
2019-12-01,2019,12,9,Morning,302
2019-12-27,2019,12,10,Morning,303
2019-12-22,2019,12,16,Afternoon,304
2019-12-03,2019,12,19,Evening,305
2019-12-15,2019,12,21,Evening,306
2019-12-22,2019,12,11,Morning,307
2019-12-07,2019,12,17,Afternoon,308
2019-12-03,2019,12,8,Morning,309
2019-12-02,2019,12,9,Morning,310
2019-12-24,2019,12,16,Afternoon,311
2019-12-06,2019,12,22,Evening,312
2019-12-13,2019,12,3,Night,313
2019-12-31,2019,12,18,Evening,314
2019-12-24,2019,12,4,Night,315
2019-12-17,2019,12,17,Afternoon,316
2019-12-14,2019,12,9,Morning,317
2019-12-02,2019,12,20,Evening,318
2019-12-29,2019,12,19,Evening,319
2019-12-16,2019,12,10,Morning,320
2019-12-11,2019,12,4,Night,321
2019-12-19,2019,12,13,Afternoon,322
2019-12-29,2019,12,2,Night,323
2019-12-21,2019,12,17,Afternoon,324
2019-12-09,2019,12,18,Evening,325
2019-12-07,2019,12,18,Evening,326
2019-12-16,2019,12,21,Evening,327
2019-12-19,2019,12,18,Evening,328
2019-12-07,2019,12,9,Morning,329
2019-12-01,2019,12,23,Evening,330
2019-12-04,2019,12,14,Afternoon,331
2019-12-08,2019,12,16,Afternoon,332
2019-12-09,2019,12,14,Afternoon,333
2019-12-01,2019,12,10,Morning,334
2019-12-22,2019,12,10,Morning,335
2019-12-29,2019,12,21,Evening,336
2019-12-08,2019,12,9,Morning,337
2019-12-29,2019,12,9,Morning,338
2019-12-31,2019,12,21,Evening,339
2019-12-08,2019,12,2,Night,340
2019-12-13,2019,12,12,Afternoon,341
2019-12-14,2019,12,13,Afternoon,342
2019-12-22,2019,12,12,Afternoon,343
2019-12-14,2019,12,7,Morning,344
2019-12-04,2019,12,11,Morning,345
2019-12-17,2019,12,23,Evening,346
2019-12-19,2019,12,19,Evening,347
2019-12-28,2019,12,8,Morning,348
2019-12-04,2019,12,20,Evening,349
2019-12-06,2019,12,1,Night,350
2019-12-31,2019,12,23,Evening,351
2019-12-18,2019,12,11,Morning,352
2019-12-04,2019,12,7,Morning,353
2019-12-28,2019,12,19,Evening,354
2019-12-09,2019,12,8,Morning,355
2019-12-19,2019,12,15,Afternoon,356
2019-12-13,2019,12,6,Morning,357
2019-12-30,2019,12,17,Afternoon,358
2019-12-04,2019,12,21,Evening,359
2019-12-19,2019,12,9,Morning,360
2019-12-23,2019,12,16,Afternoon,361
2019-12-11,2019,12,15,Afternoon,362
2019-12-30,2019,12,10,Morning,363
2019-12-14,2019,12,11,Morning,364
2019-12-09,2019,12,13,Afternoon,365
2019-12-08,2019,12,15,Afternoon,366
2019-12-02,2019,12,16,Afternoon,367
2019-12-28,2019,12,14,Afternoon,368
2019-12-04,2019,12,16,Afternoon,369
2019-12-09,2019,12,12,Afternoon,370
2019-12-23,2019,12,21,Evening,371
2019-12-13,2019,12,7,Morning,372
2019-12-14,2019,12,3,Night,373
2019-12-03,2019,12,13,Afternoon,374
2019-12-07,2019,12,21,Evening,375
2019-12-11,2019,12,18,Evening,376
2019-12-01,2019,12,11,Morning,377
2019-12-11,2019,12,14,Afternoon,378
2019-12-21,2019,12,22,Evening,379
2019-12-06,2019,12,17,Afternoon,380
2019-12-06,2019,12,8,Morning,381
2019-12-06,2019,12,20,Evening,382
2019-12-10,2019,12,16,Afternoon,383
2019-12-17,2019,12,13,Afternoon,384
2019-12-04,2019,12,22,Evening,385
2019-12-07,2019,12,12,Afternoon,386
2019-12-25,2019,12,8,Morning,387
2019-12-31,2019,12,12,Afternoon,388
2019-12-13,2019,12,20,Evening,389
2019-12-29,2019,12,12,Afternoon,390
2019-12-28,2019,12,22,Evening,391
2019-12-01,2019,12,17,Afternoon,392
2019-12-02,2019,12,13,Afternoon,393
2019-12-06,2019,12,11,Morning,394
2019-12-02,2019,12,12,Afternoon,395
2019-12-30,2019,12,14,Afternoon,396
2019-12-22,2019,12,9,Morning,397
2019-12-25,2019,12,11,Morning,398
2019-12-05,2019,12,23,Evening,399
2019-12-24,2019,12,23,Evening,400
2019-12-23,2019,12,15,Afternoon,401
2019-12-11,2019,12,7,Morning,402
2019-12-04,2019,12,9,Morning,403
2019-12-17,2019,12,9,Morning,404
2019-12-25,2019,12,7,Morning,405
2019-12-08,2019,12,13,Afternoon,406
2019-12-13,2019,12,23,Evening,407
2019-12-11,2019,12,23,Evening,408
2019-12-01,2019,12,22,Evening,409
2019-12-02,2019,12,23,Evening,410
2019-12-09,2019,12,22,Evening,411
2019-12-22,2019,12,14,Afternoon,412
2019-12-29,2019,12,16,Afternoon,413
2019-12-10,2019,12,17,Afternoon,414
2019-12-26,2019,12,10,Morning,415
2019-12-26,2019,12,22,Evening,416
2019-12-29,2019,12,22,Evening,417
2019-12-24,2019,12,22,Evening,418
2019-12-07,2019,12,15,Afternoon,419
2019-12-26,2019,12,15,Afternoon,420
2019-12-27,2019,12,6,Morning,421
2019-12-11,2019,12,3,Night,422
2019-12-18,2019,12,21,Evening,423
2019-12-25,2019,12,18,Evening,424
2019-12-25,2019,12,22,Evening,425
2019-12-22,2019,12,23,Evening,426
2019-12-05,2019,12,10,Morning,427
2019-12-30,2019,12,7,Morning,428
2019-12-10,2019,12,23,Evening,429
2019-12-03,2019,12,16,Afternoon,430
2019-12-25,2019,12,13,Afternoon,431
2019-12-20,2019,12,16,Afternoon,432
2019-12-22,2019,12,19,Evening,433
2019-12-23,2019,12,17,Afternoon,434
2019-12-20,2019,12,10,Morning,435
2019-12-17,2019,12,14,Afternoon,436
2019-12-30,2019,12,11,Morning,437
2019-12-28,2019,12,9,Morning,438
2019-12-01,2019,12,4,Night,439
2019-12-14,2019,12,18,Evening,440
2019-12-19,2019,12,5,Night,441
2019-12-27,2019,12,12,Afternoon,442
2019-12-24,2019,12,19,Evening,443
2019-12-28,2019,12,23,Evening,444
2019-12-02,2019,12,15,Afternoon,445
2019-12-30,2019,12,6,Morning,446
2019-12-26,2019,12,20,Evening,447
2019-12-21,2019,12,23,Evening,448
2019-12-08,2019,12,17,Afternoon,449
2019-12-18,2019,12,17,Afternoon,450
2019-12-06,2019,12,16,Afternoon,451
2019-12-30,2019,12,9,Morning,452
2019-12-25,2019,12,3,Night,453
2019-12-18,2019,12,7,Morning,454
2019-12-25,2019,12,20,Evening,455
2019-12-09,2019,12,15,Afternoon,456
2019-12-31,2019,12,1,Night,457
2019-12-29,2019,12,13,Afternoon,458
2019-12-18,2019,12,22,Evening,459
2019-12-19,2019,12,21,Evening,460
2019-12-26,2019,12,17,Afternoon,461
2019-12-20,2019,12,17,Afternoon,462
2019-12-29,2019,12,8,Morning,463
2019-12-17,2019,12,20,Evening,464
2019-12-03,2019,12,22,Evening,465
2019-12-10,2019,12,6,Morning,466
2019-12-22,2019,12,17,Afternoon,467
2019-12-03,2019,12,7,Morning,468
2019-12-28,2019,12,16,Afternoon,469
2019-12-09,2019,12,10,Morning,470
2019-12-09,2019,12,21,Evening,471
2019-12-18,2019,12,23,Evening,472
2019-12-30,2019,12,15,Afternoon,473
2019-12-06,2019,12,21,Evening,474
2019-12-27,2019,12,23,Evening,475
2019-12-10,2019,12,13,Afternoon,476
2019-12-28,2019,12,5,Night,477
2019-12-09,2019,12,6,Morning,478
2019-12-12,2019,12,8,Morning,479
2019-12-03,2019,12,18,Evening,480
2019-12-15,2019,12,15,Afternoon,481
2019-12-04,2019,12,17,Afternoon,482
2019-12-20,2019,12,12,Afternoon,483
2019-12-10,2019,12,10,Morning,484
2019-12-13,2019,12,22,Evening,485
2019-12-14,2019,12,17,Afternoon,486
2019-12-11,2019,12,10,Morning,487
2019-12-12,2019,12,14,Afternoon,488
2019-12-07,2019,12,0,Night,489
2019-12-16,2019,12,7,Morning,490
2019-12-06,2019,12,6,Morning,491
2019-12-02,2019,12,8,Morning,492
2019-12-15,2019,12,5,Night,493
2019-12-05,2019,12,21,Evening,494
2019-12-27,2019,12,3,Night,495
2019-12-31,2019,12,0,Night,496
2019-12-23,2019,12,20,Evening,497
2019-12-24,2019,12,21,Evening,498
2019-12-14,2019,12,16,Afternoon,499
2019-12-26,2019,12,9,Morning,500
2019-12-05,2019,12,17,Afternoon,501
2019-12-24,2019,12,13,Afternoon,502
2019-12-23,2019,12,23,Evening,503
2019-12-03,2019,12,10,Morning,504
2019-12-13,2019,12,19,Evening,505
2019-12-26,2019,12,11,Morning,506
2019-12-20,2019,12,23,Evening,507
2019-12-15,2019,12,10,Morning,508
2019-12-06,2019,12,0,Night,509
2019-12-15,2019,12,12,Afternoon,510
2019-12-15,2019,12,9,Morning,511
2019-12-21,2019,12,21,Evening,512
2019-12-21,2019,12,2,Night,513
2019-12-14,2019,12,0,Night,514
2019-12-21,2019,12,9,Morning,515
2019-12-15,2019,12,13,Afternoon,516
2019-12-24,2019,12,9,Morning,517
2019-12-15,2019,12,2,Night,518
2019-12-09,2019,12,9,Morning,519
2019-12-16,2019,12,3,Night,520
2019-12-23,2019,12,8,Morning,521
2019-12-22,2019,12,21,Evening,522
2019-12-19,2019,12,22,Evening,523
2019-12-20,2019,12,8,Morning,524
2019-12-07,2019,12,23,Evening,525
2019-12-14,2019,12,23,Evening,526
2019-12-04,2019,12,19,Evening,527
2019-12-12,2019,12,5,Night,528
2019-12-20,2019,12,22,Evening,529
2019-12-28,2019,12,0,Night,530
2019-12-03,2019,12,9,Morning,531
2019-12-18,2019,12,0,Night,532
2019-12-06,2019,12,5,Night,533
2019-12-12,2019,12,7,Morning,534
2019-12-02,2019,12,1,Night,535
2019-12-25,2019,12,17,Afternoon,536
2019-12-16,2019,12,1,Night,537
2019-12-03,2019,12,5,Night,538
2019-12-31,2019,12,5,Night,539
2019-12-23,2019,12,7,Morning,540
2019-12-03,2019,12,6,Morning,541
2019-12-01,2019,12,16,Afternoon,542
2019-12-30,2019,12,23,Evening,543
2019-12-04,2019,12,23,Evening,544
2019-12-31,2019,12,4,Night,545
2019-12-17,2019,12,6,Morning,546
2020-01-01,2020,1,0,Night,547
2019-12-23,2019,12,1,Night,548
2019-12-26,2019,12,14,Afternoon,549
2019-12-23,2019,12,6,Morning,550
2019-12-10,2019,12,15,Afternoon,551
2019-12-15,2019,12,0,Night,552
2019-12-07,2019,12,10,Morning,553
2019-12-12,2019,12,13,Afternoon,554
2019-12-03,2019,12,20,Evening,555
2019-12-04,2019,12,10,Morning,556
2019-12-08,2019,12,6,Morning,557
2019-12-21,2019,12,5,Night,558
2019-12-01,2019,12,21,Evening,559
2019-12-05,2019,12,22,Evening,560
2019-12-18,2019,12,16,Afternoon,561
2019-12-22,2019,12,2,Night,562
2019-12-12,2019,12,9,Morning,563
2019-12-18,2019,12,10,Morning,564
2019-12-12,2019,12,16,Afternoon,565
2019-12-31,2019,12,19,Evening,566
2019-12-08,2019,12,1,Night,567
2019-12-02,2019,12,14,Afternoon,568
2019-12-13,2019,12,11,Morning,569
2019-12-11,2019,12,9,Morning,570
2019-12-06,2019,12,15,Afternoon,571
2019-12-07,2019,12,7,Morning,572
2019-12-27,2019,12,1,Night,573
2019-12-09,2019,12,1,Night,574
2019-12-17,2019,12,1,Night,575
2019-12-13,2019,12,0,Night,576
2019-12-11,2019,12,6,Morning,577
2019-12-19,2019,12,7,Morning,578
2019-12-04,2019,12,4,Night,579
2019-12-09,2019,12,4,Night,580
2019-12-21,2019,12,4,Night,581
2019-12-21,2019,12,7,Morning,582
2019-12-11,2019,12,0,Night,583
2019-12-25,2019,12,5,Night,584
2019-12-20,2019,12,5,Night,585
2019-12-16,2019,12,0,Night,586
2019-12-20,2019,12,3,Night,587
2019-12-07,2019,12,6,Morning,588
2019-12-31,2019,12,3,Night,589
2019-12-05,2019,12,0,Night,590
2019-12-04,2019,12,6,Morning,591
2019-12-21,2019,12,0,Night,592
2019-12-26,2019,12,12,Afternoon,593
2019-12-27,2019,12,0,Night,594
2019-12-23,2019,12,2,Night,595
2019-12-07,2019,12,3,Night,596
2019-12-02,2019,12,7,Morning,597
2019-12-02,2019,12,17,Afternoon,598
2019-12-21,2019,12,14,Afternoon,599
2019-12-05,2019,12,3,Night,600
2019-12-12,2019,12,23,Evening,601
2019-12-20,2019,12,7,Morning,602
2019-12-03,2019,12,0,Night,603
2019-12-15,2019,12,16,Afternoon,604
2019-12-29,2019,12,23,Evening,605
2019-12-16,2019,12,5,Night,606
2019-12-20,2019,12,21,Evening,607
2019-12-03,2019,12,1,Night,608
2019-12-17,2019,12,5,Night,609
2019-12-22,2019,12,1,Night,610
2019-12-24,2019,12,0,Night,611
2019-12-19,2019,12,16,Afternoon,612
2019-12-30,2019,12,5,Night,613
2019-12-28,2019,12,1,Night,614
2019-12-13,2019,12,1,Night,615
2019-12-09,2019,12,0,Night,616
2019-12-22,2019,12,0,Night,617
2019-12-26,2019,12,7,Morning,618
2019-12-28,2019,12,4,Night,619
2019-12-02,2019,12,0,Night,620
2019-12-06,2019,12,3,Night,621
2019-12-30,2019,12,8,Morning,622
2019-12-07,2019,12,1,Night,623
2019-12-24,2019,12,5,Night,624
2019-12-21,2019,12,3,Night,625
2019-12-13,2019,12,5,Night,626
2020-01-01,2020,1,3,Night,627
2019-12-29,2019,12,3,Night,628
2019-12-05,2019,12,7,Morning,629
2019-12-26,2019,12,4,Night,630
2019-12-26,2019,12,6,Morning,631
2019-12-31,2019,12,10,Morning,632
2019-12-12,2019,12,2,Night,633
2019-12-19,2019,12,1,Night,634
2019-12-17,2019,12,7,Morning,635
2019-12-08,2019,12,5,Night,636
2019-12-11,2019,12,8,Morning,637
2019-12-14,2019,12,15,Afternoon,638
2019-12-05,2019,12,6,Morning,639
2019-12-19,2019,12,0,Night,640
2019-12-31,2019,12,6,Morning,641
2019-12-17,2019,12,0,Night,642
2019-12-06,2019,12,7,Morning,643
2019-12-15,2019,12,4,Night,644
2019-12-31,2019,12,8,Morning,645
2019-12-21,2019,12,16,Afternoon,646
2019-12-07,2019,12,4,Night,647
2019-12-22,2019,12,5,Night,648
2019-12-13,2019,12,4,Night,649
2019-12-18,2019,12,5,Night,650
2019-12-11,2019,12,2,Night,651
2020-01-01,2020,1,1,Night,652
2019-12-01,2019,12,5,Night,653
2019-12-23,2019,12,0,Night,654
2019-12-08,2019,12,14,Afternoon,655
2019-12-11,2019,12,1,Night,656
2019-12-16,2019,12,23,Evening,657
2019-12-22,2019,12,6,Morning,658
2020-01-01,2020,1,4,Night,659
2019-12-25,2019,12,1,Night,660
2019-12-05,2019,12,5,Night,661
2019-12-19,2019,12,23,Evening,662
2019-12-27,2019,12,11,Morning,663
2019-12-28,2019,12,6,Morning,664
2019-12-05,2019,12,2,Night,665
2019-12-16,2019,12,4,Night,666
2019-12-23,2019,12,3,Night,667
2019-12-25,2019,12,2,Night,668
2019-12-18,2019,12,9,Morning,669
2019-12-18,2019,12,6,Morning,670
2019-12-20,2019,12,0,Night,671
2019-12-08,2019,12,7,Morning,672
2019-12-02,2019,12,3,Night,673
2019-12-14,2019,12,8,Morning,674
2019-12-01,2019,12,7,Morning,675
2019-12-07,2019,12,5,Night,676
2019-12-12,2019,12,4,Night,677
2019-12-01,2019,12,6,Morning,678
2019-12-17,2019,12,3,Night,679
2019-12-31,2019,12,2,Night,680
2019-12-10,2019,12,1,Night,681
2019-12-06,2019,12,2,Night,682
2019-12-14,2019,12,4,Night,683
2019-12-17,2019,12,2,Night,684
2019-12-04,2019,12,2,Night,685
